section_index,old_type,new_type,lyric_function_score,repetition_score,position_score,neighbor_score,acoustic_profile_score,template_score,final_score,reason
1,verse,verse,0.8,0.45,0.65,0.65,0.55,0.55,0.65,保留原类型：全局结构未提供更强反证
2,bridge,intro,0.85,0.45,0.55,0.55,0.7,0.55,0.65,早段主歌前无完整歌词器乐，按 intro 处理
3,verse,verse,0.8,0.45,0.65,0.65,0.55,0.55,0.65,保留原类型：全局结构未提供更强反证
4,chorus,chorus,0.8,0.45,0.55,0.65,0.55,0.55,0.63,保留 chorus：hook/final chorus/coda 功能优先
5,pre_chorus,bridge,0.65,0.45,0.55,0.75,0.55,0.55,0.59,位于 chorus 循环之间的非 hook 连接材料，按 bridge/transition 处理
6,chorus,chorus,0.8,0.7,0.55,0.65,0.55,0.65,0.69,保留 chorus：hook/final chorus/coda 功能优先
7,pre_chorus,bridge,0.8,0.45,0.7,0.55,0.55,0.55,0.64,副歌后复现/延展材料不导向 chorus，且后续进入 bridge，按连接/转折功能标 bridge
8,bridge,bridge,0.8,0.45,0.7,0.75,0.55,0.55,0.67,保留原类型：全局结构未提供更强反证
9,chorus,chorus,0.8,0.7,0.55,0.65,0.55,0.65,0.69,保留 chorus：hook/final chorus/coda 功能优先
10,chorus,chorus,0.8,0.7,0.55,0.65,0.55,0.65,0.69,保留 chorus：hook/final chorus/coda 功能优先
11,chorus,chorus,0.8,0.45,0.55,0.65,0.55,0.65,0.64,保留 chorus：hook/final chorus/coda 功能优先
12,outro,outro,0.85,0.45,0.75,0.55,0.7,0.55,0.68,无完整歌词且在结尾，标 outro
