song_id,section_index,start_time,end_time,duration,section_type,structure_label,lyric_evidence,vocal_evidence,acoustic_evidence,boundary_confidence,type_confidence,need_human_review
anohana,1,0:00.00,0:22.80,0:22.80,verse,B,开场告别式完整歌词，有主唱叙事，按规则不能标 intro,完整主唱引子/叙事,开头有歌词，不作为 intro,0.76,0.74,false
anohana,2,0:22.80,0:40.43,0:17.63,bridge,E,第一段歌词后到正式主歌前的长无歌词器乐连接,主唱退出,中间长无歌词音乐，作为 bridge/连接段,0.78,0.76,false
anohana,3,0:40.43,1:08.86,0:28.43,verse,B,回忆/少年成长叙事，交代情绪背景,完整主唱叙事,主歌叙事段，声学边界待复核,0.76,0.78,false
anohana,4,1:08.86,1:36.73,0:27.87,chorus,D,核心情绪释放与祝福式 hook 出现,主唱进入更直接的主题表达,副歌候选，hook/主题句集中,0.74,0.8,false
anohana,5,1:36.73,2:13.96,0:37.23,pre_chorus,C,从生命长河/这些年共同经历转向再次进入副歌的总结蓄力,连续主唱，叙事转为情绪铺垫,副歌前长蓄力段，声学边界需复核,0.68,0.7,true
anohana,6,2:13.96,2:41.30,0:27.34,chorus,D,副歌 hook 复现，主题情绪再次释放,完整主唱副歌,重复 hook 结构支持 chorus,0.76,0.82,false
anohana,7,2:41.30,3:03.72,0:22.42,pre_chorus,C,共同经历段落复现，作为下一段转折前的蓄力/连接,主唱连续，歌词承接副歌后情绪,短连接/蓄力段，需人工复核是否并入 chorus,0.63,0.66,true
anohana,8,3:03.72,3:38.93,0:35.21,bridge,E,放眼路漫漫/远行的船/回忆做港湾到年少轻狂，是中后段新材料与转折,主唱桥段，功能是对比和重新蓄力,中后段新材料，导向 final chorus,0.72,0.78,false
anohana,9,3:38.93,4:07.80,0:28.87,chorus,D,final chorus 第一轮，未来某一天/回到华年主题展开,完整主唱副歌/最终高潮开始,final chorus 周期 1,0.7,0.76,false
anohana,10,4:07.80,4:36.13,0:28.33,chorus,D,final chorus 第二轮，歌词变体但仍保持同一副歌功能,完整主唱副歌变体,final chorus 周期 2,0.7,0.74,false
anohana,11,4:36.13,4:51.57,0:15.44,chorus,D,结尾祝福歌词，有完整主唱，按规则不能标 outro,主唱尾声/副歌后 coda,有歌词收束段，保留为 chorus/coda 功能,0.68,0.7,true
anohana,12,4:51.57,5:51.25,0:59.68,outro,A',最后主唱后长器乐收束,主唱退出/弱化,Demucs 低人声尾奏区间,0.78,0.8,false
