start_time,end_time,text
0:14.00,0:43.00,narrative repeated wish lines about waking turning looking up family direction care dreams and love
0:43.00,0:57.00,build transition lines about family direction care dreams and love flowing
0:57.00,1:25.00,title hook repeated light strength hope sunshine happiness bloom
1:25.00,1:40.00,
1:40.00,2:08.00,narrative repeated wish lines about waking turning looking up family direction care dreams and love
2:08.00,2:23.00,build transition lines about family direction care dreams and love flowing
2:23.00,2:53.00,title hook repeated light strength hope sunshine happiness bloom
2:53.00,3:06.00,
3:06.00,3:20.00,narrative reprise wish lines about love and care
3:20.00,3:34.00,title hook repeated light strength hope sunshine
3:34.00,3:51.00,title hook outro repeated light hope sunshine happiness bloom
