candidate_time,source,confidence,reason
0:00.91,acoustic_novelty,0.9,频谱/节奏/音色综合 novelty 峰值
0:07.08,acoustic_novelty,0.6,频谱/节奏/音色综合 novelty 峰值
0:11.28,acoustic_novelty,0.68,频谱/节奏/音色综合 novelty 峰值
0:16.00,acoustic_novelty+vocal_enter,0.95,第一次完整主唱进入；频谱/节奏/音色综合 novelty 峰值
0:25.84,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
0:28.37,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
0:48.53,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
1:45.00,acoustic_novelty+lyric_gap,0.95,频谱/节奏/音色综合 novelty 峰值；连续歌词之间出现长无歌词空隙
1:51.08,acoustic_novelty,0.65,频谱/节奏/音色综合 novelty 峰值
1:56.70,acoustic_novelty,0.59,频谱/节奏/音色综合 novelty 峰值
2:00.00,acoustic_novelty+vocal_reenter,0.95,频谱/节奏/音色综合 novelty 峰值；长空隙后主唱重新进入
3:01.00,acoustic_novelty+lyric_gap+vocal_reenter,0.95,连续歌词之间出现长无歌词空隙；频谱/节奏/音色综合 novelty 峰值；长空隙后主唱重新进入
3:32.56,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
3:46.51,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
3:54.00,acoustic_novelty+lyric_paragraph,0.66,频谱/节奏/音色综合 novelty 峰值；歌词段落边界
