song_id,section_index,start_time,end_time,duration,section_type,structure_label,lyric_evidence,vocal_evidence,acoustic_evidence,boundary_confidence,type_confidence,need_human_review
i_only_care_about_you,1,0:00.00,0:26.00,0:26.00,verse,B,开头第一句歌词前的无歌词音乐；有完整歌词，intro/outro 硬约束降为开场 verse,主唱未正式进入,建立氛围；边界靠首次主唱/稳定伴奏进入,0.73,0.78,true
i_only_care_about_you,2,0:26.00,0:35.00,0:09.00,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.61,0.7,true
i_only_care_about_you,3,0:35.00,0:57.00,0:22.00,pre_chorus,C,位于 Verse 和 Chorus 之间，歌词功能偏蓄力/过渡,主唱连续，预备进入 hook,进入副歌前变化；声学边界较弱；能量较高,0.62,0.62,true
i_only_care_about_you,4,0:57.00,1:29.00,0:32.00,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高,0.62,0.68,true
i_only_care_about_you,5,1:29.00,1:38.00,0:09.00,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.63,0.7,true
i_only_care_about_you,6,1:38.00,1:55.00,0:17.00,bridge,E,中间长无歌词音乐，独立为 bridge,歌词间无完整主唱,instrumental gap resolved before acoustic validation,0.66,0.6,true
i_only_care_about_you,7,1:55.00,2:05.00,0:10.00,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.65,0.7,false
i_only_care_about_you,8,2:05.00,2:26.00,0:21.00,pre_chorus,C,位于 Verse 和 Chorus 之间，歌词功能偏蓄力/过渡,主唱连续，预备进入 hook,进入副歌前变化；声学边界较弱；能量较高,0.65,0.62,true
i_only_care_about_you,9,2:26.00,2:51.00,0:25.00,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高,0.62,0.68,true
i_only_care_about_you,10,2:51.00,2:55.00,0:04.00,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.62,0.7,true
i_only_care_about_you,11,2:55.00,3:16.00,0:21.00,pre_chorus,C,位于 Verse 和 Chorus 之间，歌词功能偏蓄力/过渡,主唱连续，预备进入 hook,进入副歌前变化；声学边界较弱；能量较高,0.62,0.62,true
i_only_care_about_you,12,3:16.00,3:40.00,0:24.00,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高；onset/鼓点活跃,0.61,0.68,true
i_only_care_about_you,13,3:40.00,3:59.00,0:19.00,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.62,0.7,true
i_only_care_about_you,14,3:59.00,4:12.15,0:13.15,outro,A',最后一句歌词后的无歌词收束,主唱退出或弱化,歌曲尾部材料；需检查是否只是最后副歌延展,0.65,0.72,false
