song_id,section_index,start_time,end_time,duration,section_type,structure_label,lyric_evidence,vocal_evidence,acoustic_evidence,boundary_confidence,type_confidence,need_human_review
life_should_face_light,1,0:00.00,0:15.00,0:15.00,intro,A,分离人声轨显示开头长时间低人声,Demucs vocals stem 低能量,建立氛围；边界靠首次主唱/稳定伴奏进入,0.67,0.78,false
life_should_face_light,2,0:15.00,0:42.80,0:27.80,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱,0.64,0.7,true
life_should_face_light,3,0:42.80,0:57.20,0:14.40,pre_chorus,C,位于 Verse 和 Chorus 之间，歌词功能偏蓄力/过渡,主唱连续，预备进入 hook,进入副歌前变化；声学边界较弱；能量较高；onset/鼓点活跃,0.64,0.62,true
life_should_face_light,4,0:57.20,1:27.93,0:30.73,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高,0.61,0.68,true
life_should_face_light,5,1:27.93,1:41.00,0:13.07,bridge,E,分离人声轨显示中间长时间无主唱/弱主唱,Demucs vocals stem 低能量,人声分离后低 vocal RMS 区间,0.7,0.72,false
life_should_face_light,6,1:41.00,2:08.80,0:27.80,verse,B,低重复叙事推进,完整主唱叙事,稳定主歌伴奏；声学边界较弱；能量较高,0.67,0.7,false
life_should_face_light,7,2:08.80,2:23.20,0:14.40,pre_chorus,C,位于 Verse 和 Chorus 之间，歌词功能偏蓄力/过渡,主唱连续，预备进入 hook,进入副歌前变化；声学边界较弱；能量较高；onset/鼓点活跃,0.61,0.62,true
life_should_face_light,8,2:23.20,2:54.92,0:31.72,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高,0.59,0.68,true
life_should_face_light,9,2:54.92,3:05.71,0:10.79,bridge,E,分离人声轨显示中间长时间无主唱/弱主唱,Demucs vocals stem 低能量,人声分离后低 vocal RMS 区间,0.65,0.72,false
life_should_face_light,10,3:05.71,3:49.00,0:43.29,chorus,D,重复歌词或核心 hook 候选,完整主唱；通常承担主题释放,副歌候选；声学边界较弱；能量较高,0.66,0.69,false
life_should_face_light,11,3:49.00,4:02.25,0:13.25,chorus,D,尾句重复/收束；有完整歌词的尾声按 sung coda/chorus 功能处理，不标 outro,Demucs vocals stem 低能量,歌曲尾部材料；需检查是否只是最后副歌延展,0.66,0.72,true
